,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
27,ErTiGe,['P4/nmmZ'],5,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_6_CollCode93648.cif']],[['Cu2Sb']]
28,MgYRh,['Pnma'],1,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_47_CollCode432868.cif']],[['TiNiSi']]
29,NaMnAs,['P4/nmmS'],8,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode26461.cif']],[['PbClF']]
30,ScRhGe,"['P-62m', 'Pnma']",3,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_24_CollCode637681.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_8_CollCode428475.cif']]","[['ZrNiAl'], ['TiNiSi']]"
31,SbOF,"['Pbca', 'Pnma']",6,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_12_CollCode21099.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_22_CollCode431209.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode431209.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode19019.cif']]","[[None], ['MnO2']]"
32,SrSnP,['P4/nmmZ'],2,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_43_CollCode63594.cif']],[['CaGaN']]
33,IrCuB,['Fdd2'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_2.zip_CollCode75029.cif']],[['CuIrB']]
34,PrNiP,['P63/mmc'],2,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_42_CollCode646128.cif']],[['YPtAs']]
35,ZrOsAs,['P-62m'],4,3,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_3.zip_CollCode611146.cif']],[['ZrNiAl']]
36,TiNiGe,['Pnma'],1,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_3_CollCode53862.cif']],[['TiNiSi']]
37,RuAsP,['Pnnm'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_3.zip_CollCode611152.cif']],[['Marcasite#FeS2(oP6)']]
38,UNTe,['P4/nmmS'],6,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode87145.cif']],[['UP2#UAs2']]
39,HoTiSi,['P4/nmmZ'],2,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_83_CollCode88117.cif']],[['Cu2Sb']]
40,CuAsS,"['Pna21', 'Pnma']",7,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_23_CollCode23826.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_0.zip_CollCode240925.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_26_CollCode34450.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode34450.cif']]","[['CuAsS'], ['CuAsS']]"
41,TbCoC,"['P4/mmm', 'P42/mmc']",4,2,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode76795.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_40_CollCode61686.cif']]","[['CoYC(tP3)'], ['YCoC']]"
42,CeCuSi,"['P6/mmm', 'P63/mmc']",13,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_82_CollCode76320.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_30_CollCode156392.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_17_CollCode173221.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode165007.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_47_CollCode165007.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode173221.cif']]","[['AlB2'], ['BeZrSi']]"
43,SmRuSi,['P4/nmmZ'],2,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_47_CollCode41254.cif']],[['PbClF']]
44,EuAuIn,['Pnma'],1,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_58_CollCode404043.cif']],[['TiNiSi']]
45,MgYTl,['P-62m'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_61_CollCode414438.cif']],[['ZrNiAl']]
46,MnRhAs,['P-62m'],10,3,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_79_CollCode610915.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_80_CollCode87135.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_79_CollCode610912.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode87135.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_2.zip_CollCode610912.cif']]",[['ZrNiAl']]
47,LaIrAs,['I41md'],3,0,[['COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_0.zip_CollCode193890.cif']],[['LaPtSi']]
48,NdCdIn,['P63/mmc'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_17_CollCode58997.cif']],[['CaIn2']]
49,LaPdSn,"['P-62m', 'Pnma']",2,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_18_CollCode419190.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_38_CollCode422484.cif']]","[['ZrNiAl'], ['TiNiSi']]"
50,ZrFeCo,['Fd-3mS'],2,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_90_CollCode623044.cif']],[['Laves(cub)#MgCu2']]
51,ErRhSi,['Pnma'],4,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_10_CollCode631019.cif']],[['TiNiSi']]
52,LaRuSi,['P4/nmmZ'],4,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode85855.cif']],[['PbClF']]
53,OsSbSe,['P121/c1'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode647759.cif']],[['FeAsS#CoSb2']]
54,TaNO,"['C12/m1', 'I41/amdZ', 'P121/c1', 'P21/c11', 'P6/mmm']",25,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_44_CollCode257273.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_44_CollCode257274.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_0.zip_CollCode1032.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode235796.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode235797.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_89_CollCode235797.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_11_CollCode20321.cif']]","[['TaON'], ['Anatase#TiO2'], ['Baddeleyite#ZrO2(mP12)'], ['Baddeleyite#ZrO2(mP12)'], [None]]"
55,ErHCl,['R-3mH'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode203143.cif']],[['SmSI']]
