,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
766,DyAlSi,"['Cmcm', 'I41/amd']",2,5,"[['sd_1120370.cif'], ['sd_1522204.cif']]","[['YAlGe'], ['ThSi2']]"
767,HfOsGe,['P-62m'],1,3,[['sd_0460113.cif']],[['ZrNiAl']]
768,ThNiSi,['I41md'],1,0,[['sd_0537739.cif']],[['LaPtSi']]
769,BaGaGe,"['P6/mmm', 'P63/mmc']",3,5,"[['sd_1626396.cif'], ['sd_0462062.cif']]","[['AlB2'], ['AlB2']]"
770,GdTiSi,['P6/mmm'],1,3,[['sd_0539728.cif']],[['AlB2']]
771,YCI,['C12/m1'],3,0,"[['sd_1400294.cif', 'sd_1708517.cif', 'sd_1936201.cif']]",[['GdCBr-a']]
772,TbPdGe,['Imma'],1,3,[['sd_0312090.cif']],[['YPdSi']]
773,MnRhAs,['P-62m'],1,3,[['sd_0538344.cif']],[['ZrNiAl']]
774,NdPdGe,"['Imma', 'Pnma']",3,5,"[['sd_0312092.cif'], ['sd_1000901.cif']]","[['AuYbGe'], ['AuYbGe']]"
775,YbNiGe,['Pnma'],3,0,"[['sd_1226778.cif', 'sd_1008207.cif', 'sd_1008056.cif']]",[['TiNiSi']]
776,SrGaSn,['P63/mmc'],2,3,[['sd_0462060.cif']],[['YPtAs']]
777,YbGaSn,['P63/mmc'],1,3,[['sd_1605418.cif']],[['YPtAs']]
778,ZrOsGe,['P-62m'],1,3,[['sd_0460111.cif']],[['ZrNiAl']]
779,SmPdSn,['Pnma'],3,0,"[['sd_0300455.cif', 'sd_0535712.cif', 'sd_0559164.cif']]",[['TiNiSi']]
780,GdAlGa,['P6/mmm'],4,3,[['sd_1923005.cif']],[['AlB2']]
781,WFeB,['Pnma'],4,0,[['sd_1601859.cif']],[['TiNiSi']]
782,ErAlSi,"['Cmcm', 'I41/amd']",3,5,"[['sd_1120372.cif'], ['sd_1926272.cif']]","[['YAlGe'], ['ThSi2']]"
783,TiOF,['P42/mnm'],1,3,[['sd_0307448.cif']],[['TiO2']]
784,PrPtSn,"['P-62m', 'Pnma']",2,5,"[['sd_1814874.cif'], ['sd_1814871.cif']]","[['ZrNiAl'], ['TiNiSi']]"
785,PuCoGa,['P-62m'],1,3,[['sd_0300441.cif']],[['ZrNiAl']]
786,HoPdAl,['Pnma'],1,0,[['sd_0535689.cif']],[['TiNiSi']]
787,GdCoGa,['Pnma'],1,0,[['sd_1214047.cif']],[['HoNiGa']]
788,SrPdIn,['Pnma'],1,0,[['sd_0459747.cif']],[['TiNiSi']]
789,UPdGe,"['Imma', 'Pnma']",2,5,"[['sd_0312290.cif'], ['sd_0380987.cif']]","[['TiNiSi'], ['TiNiSi']]"
790,ZrRuGe,['Ima2'],2,0,[['sd_1010064.cif']],[['TiFeSi']]
791,NdRhSb,['Pnma'],1,0,[['sd_1410293.cif']],[['TiNiSi']]
792,NdIrGe,['Pnma'],1,0,[['sd_0535306.cif']],[['TiNiSi']]
793,ZrNF,['P121/c1'],1,0,[['sd_1707757.cif']],[['ScOF']]
794,CeCoGa,['C12/m1'],4,0,[['sd_1231760.cif']],[['CeCoAl']]
795,SmRhSn,['P-62m'],2,3,[['sd_0458854.cif']],[['ZrNiAl']]
796,TaFeB,['P-62m'],3,3,[['sd_1606313.cif']],[['ZrNiAl']]
797,HfMoP,['P-62m'],1,3,[['sd_1612400.cif']],[['ZrNiAl']]
798,GdIrAl,['Pnma'],1,0,[['sd_1227894.cif']],[['TiNiSi']]
799,ZrFeAs,['Pnma'],1,0,[['sd_1702161.cif']],[['HoNiGa']]
800,HfCrAl,['P63/mmc'],1,3,[['sd_1714717.cif']],[['MgZn2']]
801,NdNiAs,"['P-6m2', 'P63/mmc']",2,5,"[['sd_1612372.cif'], ['sd_1905247.cif']]","[['LiBaSi'], ['YPtAs']]"
802,BaPdAs,['P-6m2'],1,3,[['sd_1709746.cif']],[['LiBaSi']]
803,ErIrSn,['P-62m'],2,3,[['sd_0458840.cif']],[['ZrNiAl']]
804,ZrMoP,['P-62m'],1,3,[['sd_1612399.cif']],[['ZrNiAl']]
805,SrCuSb,['P63/mmc'],1,3,[['sd_1006809.cif']],[['BeZrSi']]
806,NiPdTe,['Pnma'],1,0,[['sd_1927075.cif']],[['NiPdTe']]
807,NdPdIn,['P-62m'],3,3,[['sd_1217764.cif']],[['ZrNiAl']]
808,PrNiIn,['P-62m'],2,3,[['sd_0536814.cif']],[['ZrNiAl']]
809,GdRhAl,['Pnma'],2,0,[['sd_1605801.cif']],[['TiNiSi']]
810,HfRuP,['P-62m'],1,3,[['sd_2041790.cif']],[[None]]
811,TiFeSi,['Ima2'],3,0,[['sd_1503210.cif']],[['TiFeSi']]
812,LaPdPb,['P-62m'],2,3,[['sd_1022983.cif']],[['ZrNiAl']]
813,HoPdBi,['F-43m'],1,0,[['sd_1833982.cif']],[['MgAgAs']]
814,LaNiSb,"['P63/mmc', 'Pnma']",2,5,"[['sd_1011385.cif'], ['sd_1604452.cif']]","[['BeZrSi'], ['TiNiSi']]"
815,NbIrSi,['Pnma'],1,0,[['sd_1415314.cif']],[['TiNiSi']]
816,YNiIn,['P-62m'],1,3,[['sd_0536828.cif']],[['ZrNiAl']]
817,PrRhGe,['Pnma'],1,0,[['sd_0535266.cif']],[['TiNiSi']]
818,ErPdSn,"['P-62m', 'Pnma']",4,5,"[['sd_0458845.cif'], ['sd_1227704.cif', 'sd_0559170.cif']]","[['ZrNiAl'], ['TiNiSi']]"
819,CeIrAl,['Pnma'],3,0,[['sd_1943450.cif']],[['TiNiSi']]
820,KLiO,['Cmce'],3,0,"[['sd_2110332.cif', 'sd_1713175.cif']]",[['KLiO']]
821,TmRhGe,['Pnma'],2,0,"[['sd_0535272.cif', 'sd_1611858.cif']]",[['TiNiSi']]
822,CrCoAl,['F-43m'],1,0,[['sd_1929851.cif']],[['MgAgAs']]
823,NbCoB,['Pmmn'],2,0,[['sd_0539448.cif']],[['NbCoB']]
824,VRuSb,['F-43m'],1,0,[['sd_1612212.cif']],[['MgAgAs']]
825,VCoAs,['Pnma'],2,0,[['sd_0536035.cif']],[['TiNiSi']]
826,PrAlSi,['I41/amd'],1,3,[['sd_1908109.cif']],[['ThSi2']]
827,TbCoSi,['Pnma'],1,0,[['sd_1612560.cif']],[['TiNiSi']]
828,ZrReSi,['P-62m'],1,3,[['sd_1007336.cif']],[['ZrNiAl']]
829,CuCdSb,['F-43m'],2,0,"[['sd_0539474.cif', 'sd_0302565.cif']]",[['MgAgAs']]
830,NbNiP,['Pnma'],2,0,[['sd_1006028.cif']],[['TiNiSi']]
831,TmCoSi,['Pnma'],1,0,[['sd_0458934.cif']],[['TiNiSi']]
832,BaAgSb,['P63/mmc'],1,3,[['sd_0459419.cif']],[['BeZrSi']]
833,SrAgAs,['P63/mmc'],1,3,[['sd_1713859.cif']],[['BeZrSi']]
834,ZrOsAs,['P-62m'],2,3,[['sd_2041800.cif']],[['ZrNiAl']]
835,ZrPtGe,['Pnma'],2,0,[['sd_0300737.cif']],[['TiNiSi']]
836,ErNiBi,['F-43m'],1,0,[['sd_1410324.cif']],[['MgAgAs']]
837,SrAgSb,['P63/mmc'],1,3,[['sd_0459425.cif']],[['BeZrSi']]
838,CaCuAs,['P63/mmc'],3,3,[['sd_1713865.cif']],[['BeZrSi']]
839,ErPdGa,['Pnma'],2,0,"[['sd_0535299.cif', 'sd_1411130.cif']]",[['TiNiSi']]
840,ErRhBi,['P-62m'],2,3,[['sd_1410318.cif']],[['ZrNiAl']]
841,SmNiGa,['Pnma'],2,0,[['sd_1233573.cif']],[['HoNiGa']]
842,CrCoSi,['Pnma'],2,0,[['sd_1002702.cif']],[['TiNiSi']]
