,Unnamed: 0,Composition,Type,Experimental Structure,EP 1 element,EP 1 Ehull (eV/atom),EP 1 band gap (eV),EP 1 Entry id,EP 2 element,EP 2 Ehull (eV/atom),EP 2 band gap (eV),EP 2 Entry id,EP 3 element,EP 3 Ehull (eV/atom),EP 3 band gap (eV),EP 3 Entry id
261,4,CeAuIn,III_IV,MoNiP (P-62m),Ce,0.569,0,920840,In,0.447,0,889058,Au,0.101,,948535
262,5,MgNiBi,I_II,Half Heusler (F-43m),Mg,0.529,0,843556,Ni,0,0,960625,Bi,0.392,0,978725
263,6,UNiAl,III_IV,MoNiP (P-62m),U,1.836,0,874583,Al,1.077,0,942319,Ni,0.445,0,959222
264,7,LaAsS,III_IV,OTHER,La,0.743,0,1726791,As,0.92,0,1726237,S,0.702,0,1726514
265,8,TiPdSi,III_IV,MgSrSi (Pnma),Ti,0.664,0,993484,Si,0.369,0,579765,Pd,0.192,0.809,897931
266,9,YbNiSn,III_IV,MgSrSi (Pnma),Yb,0.946,0,830501,Ni,0.166,0,960222,Sn,0.598,0,924092
267,10,ScFeAl,III_IV,OTHER,Sc,1.153,0,563737,Al,0.699,0,942682,Fe,0.424,0,958083
268,11,NdCoSi,III_IV,OTHER,Nd,1.366,0,968345,Co,0.505,0,860295,Si,0.692,0,579264
269,12,TbSnGe,III_IV,OTHER,Tb,0.52,0,965324,Sn,0.608,0,923469,Ge,0.41,0,868007
270,13,AgCdSb,I_II,Half Heusler (F-43m),Cd,0.14,0,986343,Ag,0.045,0,937613,Sb,0.074,0,917841
271,14,ScCrMn,III_IV,OTHER,Sc,1.263,0,564696,Mn,0.668,0,903154,Cr,0.78,0,835456
272,15,YbLiSb,III_IV,MgSrSi (Pnma),Li,0.161,0.751,879704,Yb,0.516,1.156,829738,Sb,0.132,1.872,915926
273,16,RhSbSe,III_IV,OTHER,Sb,0.888,0.214,1726238,Rh,0.243,0,1726792,Se,0.946,0.215,1726515
274,17,SmPdTl,III_IV,MoNiP (P-62m),Sm,0.595,0,577001,Tl,0.52,0,575039,Pd,0.135,,898695
275,18,PtSbTe,III_IV,OTHER,Sb,0.818,0,917910,Te,0.862,0,844840,Pt,0.271,0,566955
276,19,UIrSn,III_IV,MoNiP (P-62m),U,0.933,0,875673,Sn,0.936,0,925576,Ir,0.129,0,894199
277,20,SmLiGe,III_IV,MoNiP (P-62m),Li,0.243,0,881724,Sm,0.634,0,577498,Ge,0.142,0.805,867972
278,21,HfPtSi,III_IV,MgSrSi (Pnma),Hf,0.776,0,863646,Si,0.496,0,580700,Pt,0.087,1.513,566873
279,22,CeRhGa,III_IV,MgSrSi (Pnma),Ce,0.952,0,922531,Ga,0.559,,951279,Rh,0.262,0,886493
280,23,KAgSe,III_IV,OTHER,K,0.74,0,1726764,Ag,0.268,0.571,1726210,Se,0.226,0.561,1726487
281,24,NaMnBi,III_IV,OTHER,Na,0.779,0,570433,Mn,0.39,0,904399,Bi,0.399,0,978533
282,25,KLiTe,III_IV,OTHER,K,0.591,1.968,902020,Li,0.187,2.933,881244,Te,0.22,2.706,844632
283,26,CaPtPb,III_IV,MgSrSi (Pnma),Ca,0.677,0,877410,Pt,0.08,0,568316,Pb,0.477,0,928350
284,0,ScReB,III_IV,phase_separating,Sc,2.33,0,563806,Re,1.691,0,973487,B,0.588,0,909666
285,1,NbPdAl,III_IV,phase_separating,Nb,0.839,0,918355,Al,0.794,0,942357,Pd,0.299,0.304,900022
286,2,TiGaAs,III_IV,phase_separating,Ti,0.574,0,994440,Ga,0.893,0,952055,As,0.695,0,581904
287,3,TiCoB,III_IV,phase_separating,Ti,1.266,0,992184,Co,0.803,0,860548,B,0.44,,909880
288,4,TiVAl,III_IV,phase_separating,Ti,0.951,0,994036,Al,0.762,0,943065,V,0.834,0,840239
289,5,CuSbTe,III_IV,phase_separating,Cu,0.257,0,852360,Sb,0.584,0,917482,Te,0.627,0,844240
290,6,NdCuSb,III_IV,phase_separating,Nd,0.631,0,966926,Cu,0.19,0,852236,Sb,0.561,0,917043
291,7,CaFeSi,III_IV,phase_separating,Ca,1.497,0,878376,Fe,0.743,0,957910,Si,0.726,0,580633
292,8,TaMoNi,III_IV,phase_separating,Ta,1.204,0,963516,Ni,0.735,0,960098,Mo,1.242,0,883044
293,9,LaTiSi,III_IV,phase_separating,La,1.339,0,831481,Ti,0.79,0,992290,Si,0.498,0,579640
